,Name Institution,Adresse Institution,Ansprechpartner für Schulen,Mailadresse,Telefonnummer,Titel der Veranstaltung,Beschreibung,Art der Veranstaltung,Veranstaltungsort,SDG 1,SDG 2,SDG 3,Dauer der Veranstaltung in Minuten,Zielgruppe,Geeignet für Unterrichtsfächer,Kosten,Logo
11,Weltladen/ Eine Welt Station Aschaffenburg,"Treibgasse 3, 63739 Aschaffenburg",Berit Schurse,schurse@weltladen-aschaffenburg.de,06021-3288699,Das Weltspiel,"Das Weltspiel ist ein Aktionsspiel für zehn bis 30 Teilnehmer*innen ab 14 Jahren. Es versucht, die Verteilung von Kennzahlen (z.B. Bevölkerung, Einkommen, CO2-Emmissionen) weltweit abzubilden, um auf global ungerechte Verhältnisse und Zusammenhänge hinzuweisen. Durch die Darstellung auf einer großen Weltkarte macht das Weltspiel Zahlen, Verteilungen und Machtstrukturen begreifbar. ",Workshop,"Schule, Weltladen",SDG-icon-DE-10,SDG-icon-DE-13,,60,"SEK I, SEK II, BS","Geografie, Sozialkunde, Religion",Nein,WL_AB.jpg
12,Weltladen/ Eine Welt Station Aschaffenburg,"Treibgasse 3, 63739 Aschaffenburg",Berit Schurse,schurse@weltladen-aschaffenburg.de,06021-3288699,„Mehr als nur ein fairer Preis!“ - Einführung in den Fairen Handel,"Gerechte Bezahlung der ProduzentInnen in den sog. Ländern des Südens ist ein wichtiger Bestandteil des Fairen Handels - aber nicht der einzige. Der Vortrag bietet eine Einführung, die je nach Zielgruppe unterschiedliche Themen-Schwerpunkte setzt.",Rundgang,Weltladen,SDG-icon-DE-01,SDG-icon-DE-08,SDG-icon-DE-12,90,"GS, SEK I, SEK II, FS, BS","Sozialkunde, Geografie, Religion",Nein,WL_AB.jpg
13,Weltladen/ Eine Welt Station Bad Neustadt/Saale,"Hohnstr. 34,  97616 Bad Neustadt",Norbert Dietzel,info@fairhandeln.de,0171 5115427,Was für eine Welt !? ,"Mit dem Weltspiel des EPIZ wollen wir einen etwas anderen Blick auf unsere Welt werfen und für Fragen der gerechten Verteilung von Ressourcen weltweit sensibilisieren. Wie verteilen sich Weltbevölkerung und Einkommen auf die Kontinente? Wie viele und welche Länder sind beteiligt, um eine Jeans, ein Handy oder Schokolade zu produzieren? Wo geht es (nicht) gerecht zu? Wie können wir etwas tun? Wir wollen Neugier wecken und das Bild, das wir von unserer Welt haben, hinterfragen und ggf verändern.",Workshop,"Schule, VHS, Erwachsenen- oder Lehrkräftefortbildung",SDG-icon-DE-08,SDG-icon-DE-12,SDG-icon-DE-10,90-180,"SEK I, SEK II, BS","Geographie, Wirtschaft, Ethik",1 pro Teilnehmenden für die Bildungsarbeit plus Fahrtkosten ,WL_Neustadt.jpg
14,Weltladen Eltmann,"Marktplatz 9, 97483 Eltmann",Elisabeth Müller-Förtsch,weltladen-eltmann@kolping-eltmann.de,09522 7304,Wie funktioniert ein Weltladen?,"Strukturen eines Weltladens, Wie und wo wird Eingekauft, Buchhaltung, Vernetzung mit anderen Weltläden, anderen Institutionen, Ehrenamtliche Arbeit  ","Vortrag, Powerpoint","Schule, Weltladen",SDG-icon-DE-03,,,ca. 45,"GS, SEK I, SEK II","Religion, Heimatkunde",Nein,WL_Eltmann.jpg
15,Weltladen Eltmann,"Marktplatz 9, 97483 Eltmann",Elisabeth Müller-Förtsch,weltladen-eltmann@kolping-eltmann.de,09522 7304,Faire Schokolade,"Erklärung zum Anbau von fairen, nachhaltigen Kakao, Produktionsschritte bis zur fertigen Schokolade, Verkostung von Kakaonibs, Kakaotee, Schokolade, Anschauungsmaterial von Kakaoschote bis zur Schokolade ","Vortrag, Powerpoint","Schule, Weltladen",SDG-icon-DE-01,SDG-icon-DE-02,,ca. 45,"GS, SEK I","Religion, Heimat- u. Sachkunde",Nein,WL_Eltmann.jpg
16,Weltladen Marktheidenfeld e.V.,"Bronnbacherstr. 14, 97828 Marktheidenfeld",Ulrike Steigerwald,info@kinderhilfe-steigerwald.de,09391-6510,"Weltbewusstes Handeln an Beispielen Kleidung, Handy, Fußball, Bananen, Schokolade",In einem Welt-Verteilungs-Spiel wird zunächst die bestehende Kluft aus armen und reichen Ländern deutlich. An wählbaren Themenbereichen erarbeiten sich die Schüler*Innen in anschaulichen Stationen umfangreiches Wissen und überdenken ihr eigenes Konsumverhalten. ,Workshop,Schule,SDG-icon-DE-10,SDG-icon-DE-03,SDG-icon-DE-12,"Idealerweise 180 Minuten, mindestens 90 Minuten","SEK II, BS","Wirtschaft, Religion, Geographie",1 pro Person,WL_Marktheidenfeld.jpg
17,Weltladen Marktheidenfeld e.V.,"Bronnbacherstr. 14, 97828 Marktheidenfeld",Ulrike Steigerwald,info@kinderhilfe-steigerwald.de,09391-6510,Schokolade-eine FAIRführung,"Die Kinder lernen den Weg kennen, den der Kakao zurücklegen muss, bevor er zu Schokolade verarbeitet wird und diese in unsere Geschäfte kommt. Gleichzeitig geht es um die Frage: Wie fair ist der Preis, den wir dann im Supermarkt dafür bezahlen? Können die Kakaobauern davon leben, ihre Familie ernähren und ihre Kinder zur Schule schicken? Mit spielbetonten Aktionen soll der Wert der Schokolade aus fairem Handel erfahren werden. Und wie gut diese schmeckt, davon können sich alle überzeugen.",Workshop,Schule,SDG-icon-DE-01,SDG-icon-DE-08,SDG-icon-DE-12,"Idealerweise 180 Minuten, mindestens 90 Min.","GS, SEK I, SEK II, FS","Naturkunde, Gemeinschaftskunde, Religion",1 pro Person,WL_Marktheidenfeld.jpg
18,Weltladen Marktheidenfeld e.V.,"Bronnbacherstr. 14, 97828 Marktheidenfeld",Ulrike Steigerwald,info@kinderhilfe-steigerwald.de,09391-6510,Fairer Handel-was ist das?,"Bei einer Führung im Weltladen erfahren die Schüler*Innen die Gründe und Prinzipien des Fairen Handels und wie man die Produkte erkennt. Sie suchen sich ihr Lieblingsprodukt aus, zeigen es in der Runde und erfahren, aus welchem Land es kommt","Vortrag, Workshop, Rundgang",Weltladen,SDG-icon-DE-01,SDG-icon-DE-08,SDG-icon-DE-12,90 Min,"GS, SEK I, SEK II, FS, BS","Wirtschaft, Religion, Geographie",Nein,WL_Marktheidenfeld.jpg
19,Weltladen/ Eine Welt Station Würzburg,"Plattnerstraße 14, 97070 Würzburg",Lea Pfeifer,bildung@weltladen-wuerzburg.de,0931 17308,WELTbewusst - der etwas andere Stadtrundgang ,"Beim WELTbewusst-Stadtrundgang geht es um Globalisierung und nachhaltigen Konsum. Gemeinsam hinterfragen wir, wie unser Konsumverhalten mit ökologischen und sozialen Missständen in anderen Regionen der Welt zusammenhängt und wie jede:r Einzelne durch bewussten Konsum positiv Einfluss nehmen kann. Auf unserem Weg durch die Innenstadt folgen wir den Spuren ganz alltäglicher Produkte, wie Jeans, Smartphone oder Schokolade und blicken dabei auch hinter die Kulissen der glitzernden Einkaufswelt.",Rundgang,WeltladenWürzburg/ Innenstadt Würzburg,SDG-icon-DE-12,SDG-icon-DE-08,SDG-icon-DE-13,90-120,"SEK II, BS",fächerübergreifend,Nein, WL_WÜ.jpg
20,Weltladen/ Eine Welt Station Würzburg,"Plattnerstraße 14, 97070 Würzburg",Lea Pfeifer,bildung@weltladen-wuerzburg.de,0931 17308,Wie global bist Du?,"Im Alltag bleiben die Auswirkungen unseres Konsums oft verborgen. Doch Menschen und Ökosysteme werden durch unsere Entscheidungen beeinflusst. In diesem Workshop lernen wir anhand ausgewählter  Alltagsprodukte (z.B. Jeans, Fußball, Schokolade) welche Spuren der Konsum dieser Produkte auf der Welt hinterlässt und diskutieren gemeinsam nachhaltige Handlungsoptionen.",Workshop,"Schule, Weltladen",SDG-icon-DE-12,SDG-icon-DE-08,SDG-icon-DE-13,90,"GS, SEK I, SEK II, FS, BS",fächerübergreifend,Nein,WL_WÜ.jpg
